serial_no,procedure_name,non_nabh_rate,nabh_rate
1,Consultation OPD,350,350
2,Consultation- for Inpatients,350,350
3,Dressings of wounds,50,58
4,Suturing of wounds with local anaesthesia,108,124
5,Aspiration Plural Effusion - Diagnostic,120,138
6,Aspiration Plural Effusion - Therapeutic,193,222
7,Abdominal Aspiration - Diagnostic,345,397
8,Abdominal Aspiration - Therapeutic,460,529
9,Pericardial Aspiration,380,437
10,Joints Aspiration,317,365
11,Biopsy Skin,230,265
12,Removal of Stitches,36,41
13,Venesection,124,143
14,Phimosis Under LA,1311,1508
15,Sternal puncture,173,199
16,Injection for Haemorrhoids,414,476
17,Injection for Varicose Veins,350,403
18,Urinary bladder Catheterisation,425,500
19,Dilatation of Urethra,500,575
20,Incision & Drainage,420,483
21,Intercostal Drainage,125,144
22,Peritoneal Dialysis,1466,1686
23,Excision of Moles,345,397
24,Excision of Warts,310,357
25,Excision of Molluscum contagiosum,130,150
26,Excision of Venereal Warts,160,184
27,Excision of Corns,140,161
28,Intradermal (ID) Injection Keloid (Intralesional Injection),97,112
29,Chemical Cautery (s),110,127
30,Subconjunctival/subtenon’s injections in one eye,69,79
31,Subconjunctival/subtenon’s injections in both eyes,138,158
32,Pterygium Surgery,5500,6325
33,Conjunctival Peritomy,58,67
34,Conjunctival wound repair or exploration following blunt trauma,3300,3795
35,Removal of corneal foreign body,115,132
36,Cauterization of ulcer/subconjunctival injection in one eye,69,79
40,Cyanoacrylate /fibrin glue application for corneal perforation,690,794
41,Bandage contact lenses for corneal perforation,460,529
42,Scleral grafting or conjunctival flap for corneal perforation,2300,2645
43,Keratoconus correction with therapeutic contact lenses,1200,1380
44,Ultraviolet (UV) radiation for cross-linking for keratoconus,1800,2070
45,EDTA for band shaped keratopathy,863,992
46,Arcuate keratotomy for astigmatism,2800,3220
47,Re-suturing (Primary suturing) of corneal wound,1150,1323
48,Penetrating keratoplasty with glaucoma surgery,12144,13966
49,Penetrating keratoplasty with vitrectomy,12144,13966
50,Penetrating keratoplasty with IOL implantation,13656,15703
51,DALK- Deep anterior lamellar keratoplasty,17250,19838
52,Keratoprosthesis stage I and II,11500,13225
53,DSAEK Descemet’s stripping automated endothelial keratoplasty,16675,19176
54,ALTK- Automated lamellar therapeutic keratoplasty  16500,,18975
55,Probing and Syringing of lacrimal sac- in one eye,69,79
56,Probing and Syringing of lacrimal sac- in both eye,138,159
57,Dacryocystorhinostomy-Plain,2875,3306
58,Dacryocystorhinostomy-Plain with intubation and/or with lacrimal implants,9750,11213
59,Dacryocystorhinostomy-conjunctival with implant,9200,10580
60,Caliculoplasty,2300,2645
61,Dacryocystectomy,1725,1984
62,Punctal plugs for dry eyes,130,150
63,Refraction,40,46
64,Indirect Ophthalmoscopy (Fundoscopy),67,77
65,Orthoptic check-up- with synoptophore,44,51
66,Lees’ charting or Hess’ charting,100,115
67,Orthoptic exercises,50,58
68,Pleoptic exercises,50,58
69,Perimetry (Visual Field Testing) -Goldman,144,166
70,Perimetry /Humphrey Visual Field (HVF ) test-Automated,144,166
71,Fluorescein angiography for fundus or iris,920,1058
72,Ultrasound A- Scan,863,992
73,Ultrasound B- Scan,230,265
74,Fundus Photo Test,200,230
75,Indocyanin green angiography,920,1058
79,Auto-refraction,35,40
80,Macular function tests,44,51
81,Potential acuity metry,100,115
82,Laser interferometry,173,199
83,OCT-Optical coherence tomography,2125,2500
84,HRT- Heidelberg’s retinal tomogram,150,173
85,GDx Nerve fibre layer analysis,88,101
86,UBM- Ultrasound bio microscopy,150,173
87,Non Contact tonometry (NCT),50,58
88,IOP measurement with schiotz,30,35
89,IOP measurement with applanation tonometry,50,58
90,Three mirror examination for retina,58,67
91,90 D lens examination,50,58
92,Gonioscopy,58,67
93,Chalazion incision and curettage in one eye,400,460
94,Chalazion incision and curettage in both eyes,431,496
95,Ptosis surgery with fasanella servat procedure,2300,2645
96,Ptosis surgery with LPS resection one lid,5500,6325
97,Ptosis surgery with Sling surgery one lid,6670,7671
98,Ectropion surgery- one lid,1400,1610
99,Ectropion surgery- both lids,2500,2875
100,Epicanthus correction,1550,1783
101,Cantholysis and canthotomy,575,662
102,Entropion surgery- one lid,1380,1587
103,Entropion surgery- both lids,2000,2300
104,Tarsorraphy,650,748
105,Suturing of lid lacerations,1150,1323
106,Lid retraction repair,1700,1955
107,Concretions removal,115,132
108,Bucket handle procedure for lid tumors,345,397
109,Cheek rotation flap for lid tumors,6900,7935
110,Orbitotomy,8050,9258
111,Enucleation,3000,3450
112,Enucleation with orbital implants and artificial,3000,3450
113,Evisceration,3450,3968
114,Evisceration with orbital implants and artificial prosthesis,5693,6547
